Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,42.54,43.08,42.31,43.06,41.44,102223600
2018-01-03,43.13,43.64,42.99,43.06,41.43,118071600
2018-01-04,43.13,43.37,43.02,43.26,41.63,89738400
2018-01-05,43.36,43.84,43.26,43.75,42.1,94640000
2018-01-08,43.59,43.9,43.48,43.59,41.94,82271200
2018-01-09,43.64,43.76,43.35,43.58,41.94,86336000
2018-01-10,43.29,43.58,43.25,43.57,41.93,95839600
2018-01-11,43.65,43.87,43.62,43.82,42.17,74670800
2018-01-12,44.04,44.34,43.91,44.27,42.6,101672400
2018-01-16,44.47,44.85,44.04,44.05,42.39,118263600
2018-01-17,44.04,44.81,43.77,44.78,43.09,137547200
2018-01-18,44.84,45.03,44.56,44.81,43.13,124773600
2018-01-19,44.65,44.9,44.35,44.62,42.93,129700400
2018-01-22,44.33,44.45,44.15,44.25,42.58,108434400
2018-01-23,44.33,44.86,44.21,44.26,42.59,130756400
2018-01-24,44.31,44.33,43.3,43.56,41.91,204420400
2018-01-25,43.63,43.74,42.63,42.78,41.17,166116000
2018-01-26,43.0,43.0,42.51,42.88,41.26,156572000
2018-01-29,42.54,42.54,41.77,41.99,40.41,202561600
2018-01-30,41.38,41.84,41.17,41.74,40.17,184192800
2018-01-31,41.72,42.11,41.63,41.86,40.28,129915600
2018-02-01,41.79,42.15,41.69,41.95,40.36,188923200
2018-02-02,41.5,41.7,40.03,40.13,38.61,346375200
2018-02-05,39.78,40.97,39.0,39.12,37.65,290954000
2018-02-06,38.71,40.93,38.5,40.76,39.22,272975200
2018-02-07,40.77,40.85,39.77,39.88,38.38,206434400
2018-02-08,40.07,40.25,38.76,38.79,37.33,217562000
2018-02-09,39.27,39.47,37.56,39.1,37.78,282690400
2018-02-12,39.63,40.97,39.38,40.68,39.3,243278000
2018-02-13,40.49,41.19,40.41,41.08,39.7,130196800
2018-02-14,40.76,41.88,40.72,41.84,40.43,162579600
2018-02-15,42.45,43.27,42.25,43.25,41.79,204588800
2018-02-16,43.09,43.71,42.94,43.11,41.65,160704400
2018-02-20,43.01,43.56,42.86,42.96,41.51,135722000
2018-02-21,43.21,43.53,42.75,42.77,41.32,149886400
2018-02-22,42.95,43.49,42.93,43.13,41.67,123967600
2018-02-23,43.42,43.91,43.38,43.88,42.39,135249600
2018-02-26,44.09,44.85,44.05,44.74,43.23,152648800
2018-02-27,44.78,45.12,44.54,44.6,43.09,155712400
2018-02-28,44.81,45.15,44.51,44.53,43.03,151128400
2018-03-01,44.63,44.95,43.17,43.75,42.27,195208000
2018-03-02,43.2,44.08,43.11,44.05,42.57,153816000
2018-03-05,43.8,44.44,43.63,44.21,42.71,113605600
2018-03-06,44.48,44.56,44.03,44.17,42.68,95154000
2018-03-07,43.74,43.96,43.57,43.76,42.28,126814000
2018-03-08,43.87,44.28,43.77,44.24,42.74,95096400
2018-03-09,44.49,45.0,44.35,44.99,43.48,128740800
2018-03-12,45.07,45.6,45.05,45.43,43.9,128828400
2018-03-13,45.65,45.88,44.81,44.99,43.47,126774000
2018-03-14,45.08,45.13,44.45,44.61,43.1,117473600
2018-03-15,44.63,45.06,44.52,44.66,43.15,90975200
2018-03-16,44.66,44.78,44.4,44.51,43.0,157618800
2018-03-19,44.33,44.37,43.42,43.83,42.35,133787200
2018-03-20,43.81,44.2,43.74,43.81,42.33,78597600
2018-03-21,43.76,43.77,42.81,42.82,41.37,148219600
2018-03-22,42.5,43.17,42.15,42.21,40.79,165963200
2018-03-23,42.1,42.48,41.24,41.24,39.84,164115200
2018-03-26,42.02,43.28,41.61,43.19,41.73,150164800
2018-03-27,43.42,43.79,41.73,42.08,40.66,163690400
2018-03-28,41.81,42.51,41.3,41.62,40.21,166674000
2018-03-29,41.95,42.94,41.72,41.95,40.53,153594000
2018-04-02,41.66,42.24,41.12,41.67,40.26,150347200
2018-04-03,41.91,42.19,41.22,42.1,40.68,121112000
2018-04-04,41.22,43.0,41.19,42.9,41.45,138422000
2018-04-05,43.15,43.56,43.02,43.2,41.74,107732800
2018-04-06,42.74,43.12,42.05,42.1,40.67,140021200
2018-04-09,42.47,43.27,42.46,42.51,41.08,116070800
2018-04-10,43.25,43.5,42.88,43.31,41.85,113634400
2018-04-11,43.06,43.48,42.92,43.11,41.65,89726400
2018-04-12,43.35,43.75,43.26,43.54,42.07,91557200
2018-04-13,43.7,43.96,43.46,43.68,42.21,100497200
2018-04-16,43.76,44.05,43.71,43.96,42.47,86313600
2018-04-17,44.12,44.74,44.1,44.56,43.06,106421600
2018-04-18,44.45,44.71,44.22,44.46,42.96,83018000
2018-04-19,43.44,43.85,43.17,43.2,41.74,139235200
2018-04-20,42.65,42.81,41.36,41.43,40.03,261964400
2018-04-23,41.71,41.73,41.02,41.31,39.92,146062000
2018-04-24,41.42,41.58,40.31,40.74,39.36,134768000
2018-04-25,40.65,41.36,40.6,40.91,39.53,113528400
2018-04-26,41.03,41.43,40.84,41.06,39.67,111852000
2018-04-27,41.0,41.08,40.16,40.58,39.21,142623200
2018-04-30,40.53,41.81,40.46,41.31,39.92,169709600
2018-05-01,41.6,42.3,41.32,42.28,40.85,214277600
2018-05-02,43.81,44.44,43.45,44.14,42.65,266157600
2018-05-03,43.97,44.38,43.61,44.22,42.73,136272800
2018-05-04,44.56,46.06,44.54,45.96,44.41,224805200
2018-05-07,46.29,46.92,46.19,46.29,44.73,169805600
2018-05-08,46.25,46.56,45.92,46.51,44.94,113611200
2018-05-09,46.64,46.85,46.31,46.84,45.26,92844800
2018-05-10,46.94,47.59,46.91,47.51,45.91,111957200
2018-05-11,47.37,47.51,46.86,47.15,45.73,104848800
2018-05-14,47.25,47.38,46.97,47.04,45.62,83115200
2018-05-15,46.7,46.77,46.28,46.61,45.21,94780800
2018-05-16,46.52,47.12,46.5,47.04,45.63,76732400
2018-05-17,47.0,47.23,46.59,46.75,45.34,69176000
2018-05-18,46.8,46.95,46.53,46.58,45.18,73190800
2018-05-21,47.0,47.32,46.73,46.91,45.5,73603200
2018-05-22,47.1,47.22,46.7,46.79,45.38,60962800
2018-05-23,46.59,47.13,46.44,47.09,45.68,80233600
2018-05-24,47.19,47.21,46.55,47.04,45.62,92936000
2018-05-25,47.06,47.41,46.91,47.15,45.73,69844000
2018-05-29,46.9,47.19,46.72,46.97,45.56,90056400
